Finalized HDI table (from 3A and 3B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Malta,45,2,Yes Kids,high,4,10000,Software Sales,30,0,Small Town,Married,2,1,4,1,1,1,1,1,3,2,4,2,1,5,1,1,2,1,5,1,4,4,2,1,1,1,4,2,1,1,3,3,5,5,1,1,1,2,4,1,1,3,4,3,3,4,1,yes,yes,Other,1.6,2.466666667,2.15,3,0.856,Very High Human Development
756,Malta,32.5,2,No Kids,ma,3,67500,NA,2,0,Rural/Country,Single,0,0,3,3,2,2,2,3,3,4,4,4,4,2,3,2,4,4,3,3,3,2,4,1,1,4,4,1,2,2,2,3,3,3,3,1,3,3,4,3,3,3,1,3,3,2,1,yes,no,Other,2.4,3.2,2.65,2,0.856,Very High Human Development
757,Mexico,45,2,No Kids,ma,3,35000,journalist (freelance),5,8,Large-City,Single,0,0,4,3,2,2,2,1,3,2,5,5,5,5,4,5,5,5,5,1,5,5,5,1,2,5,3,3,3,3,5,3,5,5,1,1,4,3,3,5,5,5,4,4,4,3,3,yes,yes,Other,2.6,4.066666667,3.5,3.6,0.762,High Human Development
758,Mexico,80,2,No Kids,high,5,15000,NA,0,0,Large Town,Divorced,0,0,5,5,5,5,5,3,4,4,5,5,5,3,5,3,5,4,3,5,4,5,5,2,3,5,5,3,5,5,5,5,5,4,3,4,5,4,3,5,5,4,3,3,3,3,2,yes,yes,Other,5,4.2,4.25,2.8,0.762,High Human Development
759,Mexico,67.5,2,Yes Kids,deg,5,35000,retired,9,0,Medium-Sized,Widowed,0,1,3,3,2,2,1,1,2,5,4,4,4,2,3,3,4,4,4,5,3,4,4,2,4,3,3,2,3,4,3,2,3,4,2,2,4,5,4,4,2,4,3,4,4,4,2,yes,yes,Other,2.2,3.466666667,3.2,3.4,0.762,High Human Development
760,Mexico,28,3,No Kids,deg,4,25000,ESL Teacher/Biologist,0,6,Large-City,Single,0,0,4,4,4,3,3,1,4,4,5,2,1,4,4,3,5,1,4,2,5,2,4,2,4,2,2,2,5,4,5,5,5,4,1,5,4,5,4,5,4,5,2,2,3,4,3,yes,yes,Teacher,3.6,3.133333333,3.85,2.8,0.762,High Human Development
761,Mexico,32.5,2,No Kids,ma,3,35000,Sales executive,5,2,Large-City,Single,0,0,2,1,1,1,1,2,2,5,4,3,1,3,4,1,3,5,4,2,3,2,2,2,2,5,1,2,2,2,3,2,4,3,2,2,3,2,3,3,3,2,4,4,4,3,4,yes,yes,Other,1.2,2.933333333,2.5,3.8,0.762,High Human Development
762,Mexico,45,3,Yes Kids,ma,3,45000,NA,2,7,Village,Married,3,0,4,4,4,2,2,1,1,1,2,2,5,3,2,1,1,4,1,1,1,1,3,1,3,1,2,2,1,2,2,1,5,2,1,5,3,4,1,2,2,5,2,2,3,4,4,yes,no,Other,3.2,1.8,2.4,3,0.762,High Human Development
763,Mexico,45,3,Yes Kids,deg,3,150000,NA,5,0,Village,Married,1,2,4,4,4,3,3,1,1,2,3,4,4,3,3,2,3,2,2,2,5,4,5,3,3,3,2,2,4,4,4,3,3,4,2,4,4,5,5,4,5,3,4,4,2,3,3,yes,no,Other,3.6,2.733333333,3.6,3.2,0.762,High Human Development
764,Mexico,32.5,2,Yes Kids,ma,3,45000,NA,1,9,Village,Married,0,1,4,3,2,2,3,2,1,4,3,2,3,3,4,3,3,4,2,3,2,3,3,3,4,3,3,3,3,4,3,2,3,3,2,3,3,4,3,3,3,3,3,4,3,4,3,yes,yes,Other,2.8,2.8,3.05,3.4,0.762,High Human Development
765,Mexico,25,2,No Kids,dip,4,10000,NA,0,6,Village,Single,0,0,4,3,2,2,2,1,1,3,3,1,1,3,3,3,2,4,1,2,1,2,2,1,1,1,3,3,3,3,3,1,2,3,2,2,2,2,2,3,4,3,4,4,4,4,4,no,no,Other,2.6,2.066666667,2.3,4,0.762,High Human Development
766,Mexico,67.5,2,Yes Kids,ma,4,35000,NA,5,0,Medium-Sized,Married,1,1,2,3,3,2,2,2,2,4,4,2,2,2,3,2,2,4,3,3,3,3,2,2,3,2,4,2,2,3,3,2,3,3,2,2,3,2,2,3,2,4,4,4,4,4,3,no,no,Other,2.4,2.733333333,2.55,3.8,0.762,High Human Development
767,Mexico,28,3,Yes Kids,deg,3,35000,NA,8,0,Large Town,Married,0,1,4,4,4,4,4,2,3,3,4,5,5,3,3,4,5,4,5,5,3,4,4,1,2,2,1,2,3,4,5,2,2,4,2,4,4,5,5,3,5,4,4,2,4,4,5,yes,yes,Other,4,3.866666667,3.2,3.8,0.762,High Human Development
768,Mexico,45,2,Yes Kids,deg,3,25000,NA,10,0,Village,Married,1,0,1,1,2,1,1,1,1,1,1,1,5,1,1,1,1,2,1,1,1,3,2,1,1,3,3,2,3,1,3,1,3,3,3,1,3,3,1,2,2,2,4,4,4,4,4,yes,no,Other,1.2,1.466666667,2.15,4,0.762,High Human Development
769,Morocco,67.5,2,No Kids,ma,4,NA,NA,8,0,Large Town,Divorced,0,0,3,4,3,2,2,3,1,1,2,3,3,1,4,5,5,3,2,3,1,4,4,1,1,1,1,2,3,2,4,1,4,2,3,2,4,3,1,4,4,2,3,4,3,3,2,yes,yes,Other,2.8,2.733333333,2.45,3,0.647,Medium Human Development
770,Myanmar,45,3,No Kids,ma,3,67500,Gender/Public Health Consultant,3,0,Large-City,Married,0,0,3,1,1,1,1,2,2,5,4,3,5,5,5,4,5,5,2,3,1,2,5,3,5,1,4,2,5,3,5,1,4,5,4,5,5,5,2,5,3,5,5,5,3,3,1,yes,yes,Consultant,1.4,3.533333333,3.85,3.4,0.556,Medium Human Development
771,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,1,1,1,1,1,5,5,5,1,1,1,1,5,1,1,5,5,5,1,1,1,1,5,5,1,5,1,5,1,1,5,1,5,5,5,1,1,5,1,5,1,1,1,1,1,no,no,Other,1,2.866666667,3,1,NA,NA
772,NA,45,3,No Kids,deg,3,150000,NA,2,0,Small Town,Single,0,0,3,2,4,3,3,1,1,4,3,2,1,2,3,2,3,1,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,1,2,2,4,3,3,3,4,4,4,5,4,3,no,no,Other,3,2.266666667,2.75,4,NA,NA
773,NA,55,2,Yes Kids,phd,3,87500, university faculty,23,0,Large-City,Married,0,2,4,4,4,2,2,1,1,1,2,3,3,4,4,4,4,3,3,4,2,3,4,3,1,1,4,2,3,4,3,2,4,4,2,2,4,3,3,4,4,3,2,3,2,3,2,yes,no,Other,3.2,2.8,3,2.4,NA,NA
774,NA,28,3,No Kids,deg,6,10000,NA,0,0,,,0,0,1,1,1,1,1,1,1,2,1,1,3,3,3,1,3,2,1,1,1,1,3,1,1,3,2,1,1,1,3,1,1,2,1,1,1,4,3,1,3,1,5,4,4,4,3,no,no,Other,1,1.666666667,1.75,4,NA,NA
775,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,5,5,5,5,2,1,4,4,4,4,5,5,5,5,5,4,5,2,4,5,5,5,5,4,5,4,4,4,1,5,1,5,4,4,5,5,5,1,5,5,1,1,1,1,1,yes,yes,Other,4.4,4.133333333,4.1,1,NA,NA
776,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,4,3,5,2,2,2,3,2,4,2,5,3,5,2,3,2,3,4,2,2,3,1,2,5,3,2,4,2,4,2,4,4,2,4,5,2,1,4,3,4,2,3,3,2,1,yes,no,Other,3.2,2.933333333,3.05,2.2,NA,NA
777,NA,21,3,No Kids,ltuni,6,10000,NA,0,0,,,0,0,2,1,1,1,1,1,1,1,1,1,4,1,2,1,2,3,1,1,1,1,2,2,2,5,2,1,2,1,2,1,3,2,1,1,3,5,3,2,2,2,4,4,4,4,5,yes,no,Other,1.2,1.466666667,2.2,4.2,NA,NA
778,NA,24,2,No Kids,deg,3,NA,NA,0,0,,,0,0,5,3,5,5,5,2,4,2,5,3,3,5,4,2,4,5,5,2,5,4,4,2,3,5,5,4,5,5,5,5,5,5,2,4,5,5,5,4,5,5,4,4,4,4,3,yes,yes,Other,4.6,3.666666667,4.4,3.8,NA,NA
779,NA,20,2,No Kids,ltuni,6,NA,NA,0,0,,Single,0,0,3,2,4,2,2,2,4,2,4,2,3,3,2,2,4,3,5,5,4,3,4,2,3,5,5,5,4,4,4,4,4,4,4,5,4,5,3,4,4,4,3,4,4,5,4,yes,no,Other,2.6,3.2,4.05,4,NA,NA
780,NA,21,2,No Kids,deg,NA,NA,NA,0,0,Medium-Sized,Single,0,0,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,3,3,4,4,5,5,5,5,1,1,1,1,1,yes,yes,Other,5,4.866666667,4.2,1,NA,NA
781,NA,55,2,Yes Kids,phd,3,NA,NA,0,0,Medium-Sized,Married,0,2,4,3,4,3,3,3,1,5,1,1,2,1,3,1,4,4,3,3,1,3,4,1,2,2,2,2,5,3,4,2,2,5,5,4,3,3,2,3,3,4,4,5,5,5,4,yes,no,Other,3.4,2.4,3.05,4.6,NA,NA
782,NA,45,2,Yes Kids,phd,3,87500,NA,4,6,Large Town,Divorced,1,1,4,4,3,3,3,2,4,3,4,4,4,4,4,4,5,3,4,3,4,4,4,2,3,2,4,4,4,4,4,5,4,4,2,4,4,4,4,3,2,3,3,3,2,4,4,yes,yes,Other,3.4,3.733333333,3.5,3.2,NA,NA
783,NA,NA,3,Yes Kids,ma,3,NA,NA,0,1,Small Town,Divorced,1,0,5,4,4,4,4,5,1,4,5,5,2,4,5,4,4,5,5,5,3,5,4,3,5,5,5,1,5,4,4,4,4,4,5,5,3,5,4,5,4,5,1,1,1,1,1,yes,yes,Other,4.2,4.133333333,4.2,1,NA,NA
784,NA,20,2,No Kids,ltuni,6,10000,NA,0,0,Rural/Country,Single,0,0,2,3,2,4,4,4,3,3,3,4,3,5,4,4,5,4,4,3,3,5,5,1,2,5,5,3,3,3,4,4,4,5,5,3,4,3,2,4,3,5,3,3,2,1,3,yes,yes,Other,3,3.8,3.65,2.4,NA,NA
785,NA,45,2,Yes Kids,deg,3,150000,NA,1,0,Large Town,Married,1,0,3,2,2,1,1,1,2,5,3,2,1,1,2,2,2,5,2,3,2,3,3,2,2,4,5,2,3,2,4,3,3,4,5,4,3,4,3,3,2,1,4,4,4,4,2,no,no,Other,1.8,2.4,3.1,3.6,NA,NA
786,NA,NA,NA,,,NA,0,NA,NA,NA,0,0,0,NA,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,3,2,,,Other,5,4.733333333,5,2.6,NA,NA
787,NA,55,3,Yes Kids,phd,3,87500,NA,2,0,8,Married,2,1,2,2,3,2,2,1,2,1,3,3,2,3,2,2,2,2,3,2,2,2,3,2,3,2,3,3,2,2,2,2,3,3,2,2,3,4,3,3,3,3,4,4,4,4,4,yes,no,Other,2.2,2.133333333,2.65,4,NA,NA
788,NA,28,2,No Kids,ma,6,NA,NA,3,9,Small Town,Married,0,0,4,5,3,3,3,2,1,5,2,3,4,2,4,3,4,5,2,4,2,5,5,2,3,5,5,3,5,3,4,5,3,5,1,3,5,5,5,5,5,5,3,4,2,4,4,yes,yes,Other,3.6,3.2,4.1,3.4,NA,NA
789,NA,22,2,No Kids,ltuni,4,NA,NA,1,0,Village,Single,0,0,2,2,1,1,1,1,1,3,3,2,5,2,1,1,1,1,1,1,3,2,3,4,2,1,1,5,2,5,2,1,4,1,1,1,1,1,1,2,1,4,4,5,5,5,5,no,no,Other,1.4,1.866666667,2.15,4.8,NA,NA
790,NA,45,2,Yes Kids,ltuni,4,25000,NA,4,0,Rural/Country,Married,0,1,5,4,3,3,3,5,3,5,5,5,5,4,5,5,5,3,4,5,4,5,5,3,4,2,4,3,5,5,4,1,2,5,5,3,4,5,5,5,1,1,4,3,3,4,2,yes,yes,Other,3.6,4.533333333,3.6,3.2,NA,NA
791,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,1,1,1,1,1,5,5,5,1,1,1,1,5,1,1,5,5,5,1,1,1,1,5,5,1,5,1,5,1,1,5,1,5,5,5,1,1,5,1,5,1,1,1,1,1,no,no,Other,1,2.866666667,3,1,NA,NA
792,NA,16.5,3,No Kids,lthigh,6,15000,associate,1,5,,,0,0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,yes,yes,Other,5,3.133333333,3,5,NA,NA
793,NA,7.5,3,No Kids,lthigh,NA,NA,NA,0,0,,,0,0,1,3,2,3,2,4,3,2,2,3,3,2,1,3,4,5,4,5,2,2,1,2,5,4,1,4,2,5,3,5,4,3,4,2,3,3,4,3,5,1,3,2,3,2,3,no,yes,Other,2.2,3,3.2,2.6,NA,NA
794,NA,7.5,2,No Kids,lthigh,NA,NA,NA,0,0,,,0,0,1,2,1,2,3,3,4,3,2,3,3,4,3,3,3,5,4,1,5,4,3,3,4,4,2,3,3,3,2,2,5,2,5,5,4,2,1,4,2,4,1,1,5,4,4,yes,no,Other,1.8,3.333333333,3.15,3,NA,NA
795,NA,16.5,3,No Kids,lthigh,NA,NA,NA,0,0,,,0,0,4,4,5,1,3,4,2,4,3,3,2,4,4,3,3,4,3,4,2,4,3,2,3,3,2,4,4,4,3,2,3,2,2,2,4,3,2,4,3,4,5,3,5,5,4,yes,no,Other,3.4,3.266666667,2.95,4.4,NA,NA
796,NA,16.5,3,No Kids,lthigh,NA,NA,NA,0,0,,,0,0,1,1,1,5,5,1,2,3,2,3,3,3,4,2,3,5,4,5,2,1,5,4,3,2,3,4,4,3,2,2,4,1,1,2,3,2,3,4,3,4,2,3,2,3,5,no,yes,Other,2.6,2.866666667,2.95,3,NA,NA
797,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,3,3,3,3,2,1,1,5,3,3,1,2,4,2,3,2,3,3,2,2,4,2,4,4,1,2,3,3,3,2,3,3,5,5,4,4,4,4,2,3,3,3,3,4,4,yes,no,Other,2.8,2.466666667,3.25,3.4,NA,NA
798,NA,23,2,No Kids,deg,6,10000,Law clerk,0,8,Small City,Divorced,0,0,3,2,3,1,1,1,1,2,3,2,2,2,2,2,3,2,2,3,1,1,3,1,5,4,2,2,2,2,2,1,2,3,1,1,2,2,2,2,2,2,4,4,4,4,3,no,no,Other,2,1.933333333,2.15,3.8,NA,NA
799,NA,55,3,No Kids,ltuni,5,55000,Farm Manager,8,2,Large-City,Married,0,0,3,3,3,3,3,1,1,1,1,3,1,3,3,3,3,3,2,2,1,4,3,3,2,2,3,2,4,3,4,2,4,4,2,4,3,4,2,3,3,4,4,4,4,4,1,yes,yes,Manager,3,2.133333333,3.05,3.4,NA,NA
800,NA,37.5,3,Yes Kids,phd,3,250000,engineer,4,0,Large-City,Married,1,0,4,4,4,3,3,5,4,5,2,2,4,2,5,2,1,4,4,4,3,5,5,4,4,4,2,4,4,3,4,5,5,4,5,5,5,5,1,5,3,5,3,3,3,3,3,yes,no,Other,3.6,3.466666667,4.1,3,NA,NA
801,NA,16.5,2,No Kids,lthigh,6,NA,NA,0,0,Large-City,Single,0,0,4,4,3,3,1,2,4,1,5,2,2,1,3,1,2,1,4,1,5,1,1,3,3,4,5,1,1,3,4,3,1,3,3,4,2,5,2,2,1,3,3,4,5,4,3,yes,no,Other,3,2.333333333,2.7,3.8,NA,NA
802,NA,16.5,2,No Kids,lthigh,NA,NA,NA,0,0,Large Town,,0,0,2,1,3,1,1,2,4,2,5,1,5,1,3,3,3,2,4,4,5,1,2,1,2,4,3,3,2,4,5,3,4,2,3,3,3,2,2,3,5,1,3,5,5,3,2,yes,no,Other,1.6,3,2.85,3.6,NA,NA
803,NA,16.5,3,No Kids,high,6,25000,NA,0,0,,,0,0,1,1,1,1,1,5,5,5,1,1,1,1,5,1,1,5,5,5,1,1,1,1,5,5,1,5,1,5,1,1,5,1,5,5,5,1,1,5,1,5,5,5,5,5,5,yes,yes,Other,1,2.866666667,3,5,NA,NA
804,NA,55,2,Yes Kids,ma,4,25000, teacher,17,0,Medium-Sized,Divorced,2,1,3,2,2,1,1,1,1,1,3,2,1,1,1,1,2,2,2,1,1,1,3,3,1,2,3,1,3,2,3,1,4,3,2,2,3,3,3,2,2,1,4,5,4,4,3,no,no,Teacher,1.8,1.4,2.35,4,NA,NA
805,NA,28,2,No Kids,deg,3,35000,NA,0,0,,,0,0,1,1,1,1,1,4,3,3,3,1,1,1,2,1,1,5,2,5,3,3,4,5,2,4,5,2,4,1,4,2,5,3,4,5,3,5,3,4,3,4,3,3,3,3,4,yes,no,Other,1,2.533333333,3.6,3.2,NA,NA
806,NA,28,2,No Kids,phd,3,150000,NA,0,0,,Married,0,0,2,3,3,1,1,1,2,3,5,2,1,4,4,1,2,5,4,4,4,3,3,3,2,4,4,4,4,3,4,4,4,4,3,5,3,4,4,3,3,3,4,4,3,4,3,no,no,Other,2,3,3.55,3.6,NA,NA
807,NA,25,3,No Kids,phd,NA,NA,NA,0,0,Large-City,Single,0,0,2,3,1,1,1,1,1,2,2,2,4,3,4,3,3,4,2,1,2,2,2,1,1,2,2,2,2,2,4,2,3,3,2,2,3,3,2,2,3,2,4,4,4,3,1,yes,no,Other,1.6,2.4,2.25,3.2,NA,NA
808,NA,45,3,Yes Kids,phd,3,150000,manager,0,9,Large-City,Divorced,3,1,3,3,3,3,3,2,2,3,3,4,4,4,3,3,4,2,4,4,4,4,4,2,3,5,4,3,4,4,4,4,3,4,2,3,4,4,4,4,4,4,1,1,2,2,1,yes,yes,Manager,3,3.333333333,3.65,1.4,NA,NA
809,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,3,3,4,3,3,1,1,2,3,2,2,3,4,1,3,2,3,3,2,3,3,3,3,2,3,2,3,3,3,1,4,3,3,2,3,3,2,3,3,3,4,4,3,3,2,yes,no,Other,3.2,2.333333333,2.75,3.2,NA,NA
810,NA,37.5,2,Yes Kids,phd,3,67500,teacher / Administrator,9,0,Medium-Sized,Married,1,0,3,3,3,2,2,1,1,1,1,1,4,1,1,1,2,2,1,1,1,2,2,1,1,4,3,2,2,3,3,2,2,2,3,2,2,3,3,3,2,2,4,4,4,4,3,no,no,Teacher,2.6,1.4,2.35,3.8,NA,NA
811,NA,NA,2,No Kids,ltuni,NA,NA,NA,0,0,,Single,0,0,5,4,5,3,3,1,1,3,3,3,2,5,4,3,4,4,1,2,3,3,4,3,5,4,5,4,4,5,4,2,4,4,2,4,4,5,4,5,4,4,2,3,2,3,1,yes,yes,Other,4,2.8,4,2.2,NA,NA
812,NA,25,2,No Kids,ma,3,87500,NA,0,1,,Single,0,0,3,3,2,1,1,2,2,3,4,4,2,4,3,3,4,2,3,3,4,3,4,4,2,4,4,3,4,3,4,4,3,5,2,3,3,2,3,4,4,2,4,5,5,5,4,yes,yes,Other,2,3.066666667,3.35,4.6,NA,NA
813,NA,37.5,3,No Kids,phd,3,67500,researcher,10,0,Large-City,Married,0,0,3,3,4,3,3,5,4,5,1,4,4,5,4,5,5,5,4,4,4,4,4,4,5,5,1,4,1,5,4,4,2,4,5,5,5,5,5,3,3,4,4,4,4,4,4,no,yes,Other,3.2,4.2,3.9,4,NA,NA
814,NA,37.5,2,Yes Kids,ma,3,87500,Gove service,6,7,Large-City,Married,0,2,4,4,4,2,2,1,1,1,2,3,5,4,2,4,4,4,2,2,2,1,4,1,1,2,2,1,3,3,4,1,1,2,1,4,4,3,2,4,2,4,5,4,3,5,1,yes,no,Other,3.2,2.533333333,2.45,3.6,NA,NA
815,NA,45,2,Yes Kids,ma,7,35000,NA,0,0,Large-City,Married,0,1,3,3,2,2,2,2,1,1,1,2,1,1,1,3,1,3,1,3,1,4,4,3,2,4,3,2,4,2,4,1,1,3,2,3,4,4,3,3,5,3,4,5,4,4,5,yes,no,Other,2.4,1.733333333,3,4.4,NA,NA
816,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,1,1,1,1,1,2,2,5,3,2,1,1,2,1,1,2,1,3,1,1,3,1,2,5,3,2,2,1,2,2,2,1,3,3,3,4,3,4,3,3,4,4,4,4,4,no,no,Other,1,1.866666667,2.6,4,NA,NA
817,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,2,2,2,2,4,2,1,4,4,2,3,3,4,2,2,2,2,2,3,4,4,4,3,3,2,3,2,2,2,3,2,5,1,4,4,2,2,3,2,1,4,4,4,4,4,yes,yes,Other,2.4,2.666666667,2.7,4,NA,NA
818,NA,20,2,No Kids,ltuni,6,NA,NA,0,0,,Single,0,0,4,4,4,3,3,2,2,3,3,2,1,4,4,1,3,4,4,3,4,3,3,2,3,2,4,2,2,4,5,4,4,4,1,4,4,3,3,5,3,3,3,3,3,5,4,yes,no,Other,3.6,2.866666667,3.25,3.6,NA,NA
819,NA,28,2,No Kids,phd,6,NA,NA,0,0,,,0,0,4,5,4,4,4,3,5,3,5,5,4,5,4,5,5,4,4,4,4,5,5,4,2,4,4,4,5,4,5,4,4,5,3,4,4,4,4,5,5,4,4,4,4,3,3,yes,yes,Other,4.2,4.333333333,4.15,3.6,NA,NA
820,NA,32.5,2,No Kids,deg,3,NA,Pharmacist,10,0,,Married,0,0,3,5,4,4,4,3,3,3,4,4,3,4,3,3,4,4,4,4,3,4,4,3,4,3,3,4,3,4,3,3,3,3,2,4,3,4,3,4,4,3,3,3,2,2,2,yes,yes,Other,4,3.533333333,3.35,2.4,NA,NA
821,NA,19,2,No Kids,ltuni,NA,NA,NA,0,0,Medium-Sized,,0,0,3,4,3,2,2,2,4,3,4,4,2,4,3,1,4,4,4,4,4,3,4,3,2,3,5,4,4,4,4,5,4,4,4,4,4,4,3,5,4,3,2,3,3,4,4,yes,yes,Other,2.8,3.333333333,3.85,3.2,NA,NA
822,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,4,5,3,3,3,1,1,4,1,3,1,2,3,1,5,2,1,3,2,2,3,1,1,2,1,1,3,4,3,2,3,4,2,1,3,4,4,3,4,3,3,2,2,2,2,yes,yes,Other,3.6,2.133333333,2.6,2.2,NA,NA
823,NA,45,2,Yes Kids,lthigh,7,25000,warehouse,14,0,,Married,2,2,5,4,2,2,1,1,1,5,4,4,5,4,4,3,4,1,2,2,3,1,4,1,3,5,2,1,3,2,4,3,2,4,4,4,4,3,3,3,5,3,3,3,3,3,3,yes,yes,Other,2.8,2.933333333,3.15,3,NA,NA
824,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,4,4,3,3,3,4,3,4,4,5,4,5,5,4,4,4,4,5,5,4,4,3,5,5,3,4,5,4,4,3,1,5,5,5,5,5,4,5,5,5,2,2,2,2,2,yes,yes,Other,3.4,4.266666667,4.25,2,NA,NA
825,NA,NA,NA,No Kids,,NA,0,NA,NA,NA,0,0,0,0,1,1,1,1,1,5,5,5,1,1,1,1,5,2,2,5,4,5,1,1,2,2,4,4,2,4,2,4,2,2,5,2,4,4,3,3,3,3,3,4,1,1,1,1,1,,,Other,1,2.933333333,3.1,1,NA,NA
826,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,3,3,3,3,3,1,4,5,4,4,2,3,4,4,4,4,4,2,4,3,4,1,3,3,2,3,4,3,4,3,3,4,1,4,3,4,3,4,3,3,2,2,2,2,2,yes,no,Other,3,3.466666667,3.1,2,NA,NA
827,NA,67.5,2,Yes Kids,ltuni,5,NA,NA,0,0,Large-City,Married,2,0,3,3,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,3,1,1,3,3,1,3,2,3,1,4,3,1,1,3,1,1,3,4,3,4,4,5,5,5,yes,no,Other,2.4,1.6,2.25,4.6,NA,NA
828,NA,37.5,2,No Kids,phd,3,45000,Academic,4,8,Small City,Single,0,0,3,4,4,3,3,1,2,3,4,4,3,3,4,2,3,3,4,2,4,2,4,3,2,4,3,2,4,4,4,2,4,4,1,2,4,4,2,4,4,3,3,4,3,3,3,yes,yes,Other,3.4,2.933333333,3.2,3.2,NA,NA
829,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,yes,yes,Other,3,3,3,3,NA,NA
830,NA,22,2,No Kids,ltuni,6,10000,NA,0,0,Large Town,Single,0,0,4,4,5,4,4,3,2,2,3,1,2,5,5,2,5,5,4,4,2,4,4,2,4,2,5,2,4,4,1,5,4,4,2,5,5,5,5,4,5,4,5,5,5,4,5,yes,yes,Other,4.2,3.266666667,3.8,4.8,NA,NA
831,NA,67.5,2,No Kids,ma,5,67500,NA,0,0,,,0,0,3,3,3,2,3,2,3,5,4,3,3,3,3,3,3,3,4,2,4,4,4,2,3,3,3,3,4,3,4,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,yes,yes,Other,2.8,3.266666667,3.25,3,NA,NA
832,NA,45,3,No Kids,phd,3,25000,NA,6,0,Small Town,Single,0,0,4,4,4,3,3,3,2,4,3,3,4,3,3,2,3,4,2,4,2,3,4,2,3,4,4,2,4,4,4,4,4,4,4,3,3,4,4,4,3,4,2,2,2,2,2,yes,yes,Other,3.6,3,3.6,2,NA,NA
833,NA,25,2,No Kids,ltuni,6,NA,NA,4,0,,,0,0,4,3,3,3,4,1,2,4,3,3,4,3,3,3,4,3,4,3,2,2,4,1,3,1,3,3,3,3,3,4,2,4,2,2,4,4,4,3,5,4,2,1,2,3,1,yes,yes,Other,3.4,2.933333333,3.1,1.8,NA,NA
834,NA,21,3,No Kids,dip,6,15000,vidoe,5,0,,Single,0,0,2,2,2,2,2,2,2,3,3,3,4,4,3,3,3,2,3,3,3,3,3,3,2,3,3,1,3,2,3,2,3,3,2,2,4,3,3,3,4,3,3,3,3,3,3,yes,no,Other,2,2.933333333,2.75,3,NA,NA
835,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,4,3,3,5,5,4,5,5,3,5,5,4,5,5,5,5,5,5,1,1,1,2,1,yes,yes,Other,4.8,4.866666667,4.45,1.2,NA,NA
836,NA,21,2,No Kids,ltuni,6,10000,Nanny,0,3,Small Town,Single,0,0,3,3,3,2,2,2,1,1,2,3,4,5,2,2,3,2,2,3,1,4,4,3,1,3,4,3,3,3,3,1,1,4,3,3,4,4,4,3,3,4,5,5,5,5,5,yes,yes,Other,2.6,2.466666667,3.05,5,NA,NA
837,NA,32.5,2,Yes Kids,ltuni,6,10000,NA,0,0,Large-City,Married,1,0,4,4,4,3,3,5,2,5,3,2,2,5,5,1,5,2,4,4,3,4,4,2,3,4,5,3,5,3,5,5,3,5,3,3,5,5,5,3,4,3,3,3,4,3,3,yes,yes,Other,3.6,3.466666667,3.9,3.2,NA,NA
838,NA,37.5,3,No Kids,ma,3,150000,NA,0,0,,Married,0,0,2,3,2,3,3,3,3,3,3,2,2,4,4,2,3,3,4,5,4,3,3,3,4,2,2,2,4,2,3,3,3,4,4,4,4,5,5,4,3,4,3,3,3,3,2,yes,no,Other,2.6,3.2,3.4,2.8,NA,NA
839,NA,NA,NA,No Kids,,NA,NA,NA,0,0,,,0,0,5,5,4,3,3,2,3,5,5,5,4,5,5,4,4,3,2,2,1,4,5,4,4,5,5,5,5,5,5,5,4,5,2,5,5,4,2,5,5,4,2,3,2,3,1,yes,yes,Other,4,3.6,4.45,2.2,NA,NA
