"","ID","DP_1","DP_2","DP_3","DP_4","DP_5","AIP_1","AIP_2","AIP_3","AIP_4","AIP_5","AIP_6","AIP_7","AIP_8","AIP_9","AIP_10","AIP_11","AIP_12","AIP_13","AIP_14","AIP_15","GP_1","GP_2","GP_3","GP_4","GP_5","GP_6","GP_7","GP_8","GP_9","GP_10","GP_11","GP_12","GP_13","GP_14","GP_15","GP_16","GP_17","GP_18","GP_19","GP_20","SWLS_1","SWLS_2","SWLS_3","SWLS_4","SWLS_5","Self_Score","Others_Score","DP_Avg","AIP_Avg","GP_Avg","SWLS_Avg","Country_Res","Age","Gender","Kids","Edu","Work_Status","Annual_Inc","Current_Occ","Employ_Yrs","Employ_Mths","Comm_Size","Married","Num_sons","Num_daught","HDI","HDI_Cat"
"851",851,1,1,1,1,1,1,1,2,2,1,1,1,1,1,5,2,1,1,1,1,1,1,1,1,2,1,1,1,5,2,1,1,1,1,1,2,2,2,1,1,4,3,3,3,4,"no","no",1,1.46667,1.45,3.4,"Canada",25,"Female","No","ma","unemployed",10000,"Unemployed",0,0,"Large-City","Married",1,0,0.92,"Very High"
"852",852,4,4,1,3,3,2,2,5,5,2,5,4,5,3,5,4,4,5,2,4,4,1,3,5,5,3,4,3,4,5,5,4,5,4,4,5,5,3,3,4,2,2,2,2,2,"yes","yes",3,3.8,3.95,2,"Canada",28,"Male","Yes","deg","full-time",67500,"Regional Sales Manager",1,0,"Large-City","Married",8,0,0.92,"Very High"
"853",853,5,5,5,3,3,2,2,5,2,3,4,5,3,2,3,4,4,4,2,4,4,4,3,3,4,5,5,5,5,5,3,4,4,3,5,5,5,4,4,4,3,4,1,1,1,"yes","yes",4.2,3.26667,4.2,2,"Canada",19,"Female","No","high","full-time",15000,"Country Style Employee",0,8,"Small Town","Single",1,0,0.92,"Very High"
"854",854,2,2,2,1,1,4,5,5,4,3,1,3,3,2,3,3,4,1,4,3,3,1,1,3,4,3,3,2,4,2,4,3,4,2,3,2,3,4,3,4,3,3,4,4,4,"yes","yes",1.6,3.2,2.9,3.6,"Canada",45,"Female","Yes","ltuni","full-time",150000,"Systems Analyst",14,0,"Medium-Sized","Married",7,0,0.92,"Very High"
"855",855,4,5,4,3,4,1,2,1,5,4,3,5,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,5,3,3,4,4,1,4,3,4,3,5,5,3,3,3,3,3,3,"yes","yes",4,3.53333,3.55,3,"Canada",45,"Female","Yes","deg","part-time",10000,"Facilitator",10,0,"Medium-Sized","Married",1,1,0.92,"Very High"
"856",856,4,4,3,3,3,1,1,3,1,2,3,1,2,1,2,4,1,3,1,3,4,2,2,3,3,3,4,3,4,1,1,4,3,3,3,3,2,3,3,3,3,3,3,2,2,"yes","no",3.4,1.93333,2.85,2.6,"Canada",37.5,"Male","No","ltuni","full-time",67500,"Business Owner",7,1,"Large-City","Married",1,0,0.92,"Very High"
"857",857,4,3,3,4,4,5,5,4,2,5,4,4,5,5,5,2,2,4,2,4,5,3,4,4,4,4,4,3,5,3,4,5,2,4,4,5,4,5,5,4,1,1,2,1,2,"yes","no",3.6,3.86667,4.05,1.4,"Canada",37.5,"Male","No","phd","full-time",87500,"college professor",2,6,"Large-City","Separated",1,0,0.92,"Very High"
"858",858,4,4,4,3,3,1,1,3,1,2,1,1,1,2,3,1,1,4,1,3,3,1,1,2,3,2,3,4,4,1,2,3,2,2,3,4,3,3,2,3,4,5,5,5,5,"yes","no",3.6,1.73333,2.55,4.8,"Canada",23,"Female","No","deg","full-time",25000,"self-employed Photographer",0,3,"Large-City","Single",1,0,0.92,"Very High"
"859",859,5,5,3,5,3,1,3,5,4,4,4,5,5,4,4,5,3,5,5,5,5,3,5,5,5,1,5,3,5,5,5,5,1,1,4,5,5,5,5,5,2,4,3,2,2,"yes","yes",4.2,4.13333,4.15,2.6,"Canada",21,"Female","No","ltuni","student",15000,"Research Assistant",0,3,"Large Town","Single",1,0,0.92,"Very High"
"860",860,4,3,4,2,2,1,3,4,4,3,1,5,4,4,4,3,4,3,4,2,4,1,3,4,3,4,3,3,4,4,2,4,1,3,4,3,2,5,3,5,2,3,2,2,4,"yes","yes",3,3.26667,3.25,2.6,"Canada",20,"Male","No","deg","part-time",15000," Military",4,0,"Large-City","Single",1,0,0.92,"Very High"
"861",861,5,4,5,5,5,5,5,5,5,5,3,4,4,4,5,4,5,5,4,4,5,5,3,5,5,1,5,4,5,4,5,5,5,4,5,4,5,5,2,5,2,2,2,2,1,"yes","yes",4.8,4.46667,4.35,1.8,"Canada",24,"Male","No","deg","student",10000,NA,NA,0,"Large-City","Single",1,0,0.92,"Very High"
"862",862,2,3,2,1,1,2,4,4,4,1,2,5,4,3,4,3,5,3,4,4,4,2,4,4,2,4,4,3,5,3,5,2,3,4,4,5,4,4,4,4,4,4,4,4,2,"yes","yes",1.8,3.46667,3.7,3.6,"Canada",23,"Male","No","deg","full-time",45000,"policy analyst",1,0,"Medium-Sized","Single",1,0,0.92,"Very High"
"863",863,3,4,3,3,3,1,2,3,5,3,4,3,5,3,5,3,4,4,3,3,4,1,3,5,3,3,3,3,4,3,2,4,3,2,4,3,2,4,3,2,2,3,3,3,2,"yes","no",3.2,3.4,3.05,2.6,"Canada",45,"Female","No","high","full-time",45000,NA,2,5,"Large-City","Married",1,0,0.92,"Very High"
"864",864,2,3,3,3,3,2,3,3,3,2,4,2,4,1,3,3,2,3,3,4,3,2,3,3,3,2,3,2,3,4,4,2,2,4,4,4,4,4,4,5,3,4,3,4,4,"yes","no",2.8,2.8,3.25,3.6,"Canada",28,"Female","No","ma","full-time",45000,"Financial Advisor",1,0,"Large-City","Married",1,0,0.92,"Very High"
"865",865,3,3,3,2,3,1,3,5,4,4,1,4,5,3,4,5,3,4,4,2,4,2,3,3,3,2,3,3,4,4,4,2,3,3,5,4,3,4,2,4,2,3,2,2,3,"yes","yes",2.8,3.46667,3.25,2.4,"Canada",22,"Male","No","deg","student",10000,NA,0,0,"Medium-Sized","Single",1,0,0.92,"Very High"
"866",866,2,2,3,2,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,3,3,2,3,2,"no","no",2,1.26667,1.45,2.6,"Canada",67.5,"Male","Yes","ma","retired",67500,"retired",1,0,"Large-City","Married",1,2,0.92,"Very High"
"867",867,4,4,4,4,4,3,1,3,3,3,4,3,3,3,4,2,2,3,3,4,4,2,3,2,3,2,4,4,4,3,3,4,2,3,4,4,3,3,4,4,3,4,2,3,2,"yes","yes",4,2.93333,3.25,2.8,"Canada",55,"Male","No","deg","full-time",150000,"Geologist",23,0,"Small City","Separated",1,0,0.92,"Very High"
"868",868,3,2,4,4,4,3,2,2,5,4,4,5,3,5,5,4,4,3,4,5,5,4,2,5,4,3,4,4,4,2,4,4,3,3,3,5,5,4,4,3,1,1,2,3,1,"yes","yes",3.4,3.86667,3.75,1.6,"Canada",45,"Male","Yes","deg","part-time",25000,"Instructional Assistant Online",3,0,"Medium-Sized","Married",8,1,0.92,"Very High"
"869",869,4,4,4,3,4,2,4,3,5,4,4,5,4,4,5,3,5,3,5,5,4,2,2,5,5,3,4,4,4,5,4,5,3,4,5,3,2,4,4,5,1,3,2,2,1,"yes","yes",3.8,4.06667,3.85,1.8,"Canada",32.5,"Female","No","dip","full-time",35000,"Systems Analyst",1,0,"Large-City","Single",1,0,0.92,"Very High"
"870",870,3,4,4,3,3,1,2,5,4,4,5,4,5,5,1,1,5,3,1,1,4,1,2,2,3,2,4,4,4,1,2,4,1,3,4,4,4,5,5,5,1,3,1,1,1,"yes","yes",3.4,3.13333,3.2,1.4,"Canada",16.5,"Female","No","high","full-time",10000,"Server",0,5,"Village","Single",1,0,0.92,"Very High"
"871",871,5,5,5,5,5,5,4,5,5,5,4,3,5,4,5,3,5,4,4,2,4,2,3,5,5,3,5,5,5,3,3,5,1,5,5,4,4,5,5,5,1,1,1,1,1,"yes","yes",5,4.2,4.1,1,"Canada",20,"Female","No","ltuni","student",10000,NA,2,9,"Large Town","Single",1,0,0.92,"Very High"
"872",872,4,4,2,3,2,2,2,2,3,2,3,2,4,2,3,3,3,4,3,4,4,2,1,3,5,2,3,4,4,2,4,4,2,2,4,3,3,5,4,4,3,3,2,3,1,"yes","no",3,2.8,3.25,2.4,"Canada",28,"Female","No","deg","full-time",45000,NA,2,2,"Large-City","Single",1,0,0.92,"Very High"
"873",873,3,3,5,2,2,3,2,5,3,2,3,4,4,1,2,4,2,5,2,4,4,1,4,5,5,2,5,5,5,2,4,5,5,5,4,2,4,4,4,5,3,5,4,4,3,"yes","yes",3,3.06667,4,3.8,"Canada",32.5,"Female","No","ma","unemployed",NA,NA,0,0,"Large-City","Single",1,0,0.92,"Very High"
"874",874,4,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,4,3,3,4,3,3,3,4,3,4,3,3,3,3,3,"yes","yes",3.2,2.6,3.05,3,"Canada",55,"Male","Yes","deg","full-time",55000," innkeeper",17,0,"Rural/Country","Separated",8,1,0.92,"Very High"
"875",875,3,3,3,2,2,1,1,4,3,2,1,1,4,1,3,1,1,1,1,2,3,1,1,1,1,2,3,3,3,1,1,2,1,3,3,2,1,3,2,2,1,3,3,3,2,"yes","no",2.6,1.8,1.95,2.4,"Canada",45,"Female","No","ma","part-time",35000,"Freelance Project Manager",2,0,"Large-City","Single",1,0,0.92,"Very High"
"876",876,5,5,4,5,5,3,3,3,4,5,5,5,4,3,4,2,4,2,4,5,5,3,3,2,5,3,5,3,5,3,4,3,3,4,4,5,5,4,5,4,2,3,2,2,2,"yes","yes",4.8,3.73333,3.9,2.2,"Canada",24,"Female","No","deg","unemployed",25000,NA,0,0,"Large-City","Single",1,0,0.92,"Very High"
"877",877,2,2,3,1,1,1,1,1,2,3,2,1,2,2,1,4,1,2,1,3,3,1,2,3,1,2,3,2,3,1,4,3,2,2,3,5,2,4,3,3,4,4,4,4,3,"no","no",1.8,1.8,2.6,3.8,"Canada",55,"Male","Yes","deg","full-time",150000,"Deputy Chieif Information Officer",1,10,"Large-City","Married",8,1,0.92,"Very High"
"878",878,3,3,4,3,2,4,2,5,3,4,2,4,3,2,5,2,3,3,2,4,5,1,2,4,1,2,4,3,4,2,2,3,4,5,4,4,4,4,4,4,2,1,3,2,2,"yes","yes",3,3.2,3.3,2,"Canada",22,"Male","No","high","part-time",15000,"Driver",0,3,"Medium-Sized",NA,1,0,0.92,"Very High"
"879",879,5,2,4,1,1,3,1,4,1,4,5,5,3,2,3,5,2,2,1,5,5,3,3,5,1,1,4,3,4,1,2,5,4,1,5,5,5,4,5,5,3,3,3,3,2,"yes","yes",2.6,3.06667,3.55,2.8,"Canada",45,"Male","Yes","ltuni","full-time",25000,"selfemplyed renovator",23,0,"Rural/Country","Separated",1,2,0.92,"Very High"
"880",880,2,3,3,3,3,1,1,1,3,2,3,2,3,3,3,1,2,1,1,2,3,1,1,1,2,3,3,2,2,1,2,3,1,1,3,2,2,2,3,3,4,4,4,4,4,"yes","no",2.8,1.93333,2.05,4,"Canada",24,"Female","No","ltuni","full-time",35000,"Accounting",1,0,"Medium-Sized","Married",1,0,0.92,"Very High"
"881",881,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,3,2,1,1,1,1,2,1,1,3,1,1,3,3,2,2,3,4,3,1,2,5,4,4,4,4,"no","no",1.8,1.66667,1.9,4.2,"Canada",55,"Male","No","deg","full-time",87500,"Systems Programmer/Analyst",2,0,"Large-City","Single",1,0,0.92,"Very High"
"882",882,2,1,1,1,1,1,1,1,3,2,1,1,2,1,3,2,1,1,1,1,3,1,1,1,5,1,1,1,1,1,3,2,1,1,1,1,1,3,1,2,4,4,4,4,4,"no","no",1.2,1.46667,1.6,4,"Canada",55,"Male","No","phd","full-time",150000,"Manager - Analytical and Environmental S",3,0,"Large-City","Married",1,0,0.92,"Very High"
"883",883,3,3,5,3,3,1,2,5,5,4,5,4,5,4,4,2,5,3,5,3,3,1,3,5,3,3,4,3,4,5,5,4,3,3,5,4,4,4,3,1,3,3,3,3,1,"yes","yes",3.4,3.8,3.5,2.6,"Canada",55,"Female","Yes","ma","full-time",87500,"engineer",28,0,"Rural/Country","Married",8,1,0.92,"Very High"
"884",884,2,3,2,2,2,2,1,3,2,3,1,2,2,3,3,1,3,4,1,2,2,1,3,3,1,2,2,2,4,1,3,3,2,3,3,2,1,3,3,4,3,4,4,3,5,"yes","yes",2.2,2.2,2.4,3.8,"Canada",28,"Male","No","dip","full-time",25000,"Graphic Designer",4,0,"Large-City","Single",1,0,0.92,"Very High"
"885",885,4,3,2,1,1,3,1,1,3,3,4,4,4,2,4,1,1,3,1,2,3,1,1,4,4,3,4,3,4,1,3,4,3,3,4,3,2,4,4,5,4,4,4,4,4,"yes","yes",2.2,2.46667,3.15,4,"Canada",16.5,"Male","No","lthigh","student",10000,"Grease Monkey",1,1,"Large-City","Single",1,0,0.92,"Very High"
"886",886,4,4,4,4,4,4,5,4,5,5,2,4,5,5,5,5,5,5,5,4,4,3,5,2,5,5,4,5,5,5,4,4,4,4,4,4,4,5,4,3,4,4,3,4,3,"yes","yes",4,4.53333,4.15,3.6,"Canada",23,"Female","No","deg","student",25000,NA,1,0,"Large-City","Married",1,0,0.92,"Very High"
"887",887,5,5,3,3,3,4,2,3,3,5,5,3,5,5,5,5,3,4,2,5,5,3,3,4,4,4,5,3,5,2,3,5,5,4,5,5,4,5,1,5,2,3,3,3,2,"yes","yes",3.8,3.93333,4,2.6,"Canada",32.5,"Male","No","ltuni","full-time",67500,"Director of Software Company",1,7,"Large-City","Married",1,0,0.92,"Very High"
"888",888,4,4,4,4,4,5,5,5,5,5,1,5,5,5,5,4,5,4,5,5,5,2,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,1,3,2,1,1,"yes","yes",4,4.6,4.2,1.6,"Canada",55,"Male","Yes","phd","full-time",55000,"college professor",23,0,"Large-City","Married",8,0,0.92,"Very High"
"889",889,4,3,3,2,2,1,1,4,2,2,4,3,3,2,4,3,4,4,2,1,4,1,3,4,2,2,4,3,4,3,3,4,3,3,4,4,4,4,3,3,1,3,3,2,1,"yes","yes",2.8,2.66667,3.25,2,"Canada",21,"Male","No","ltuni","student",10000,NA,0,0,"Medium-Sized","Single",1,0,0.92,"Very High"
"890",890,3,3,3,2,2,3,1,4,2,2,2,2,3,2,3,3,1,4,1,3,3,2,3,2,4,4,3,4,4,1,4,3,3,2,3,3,3,2,3,4,4,5,4,3,3,"yes","no",2.6,2.4,3,3.8,"Canada",55,"Male","Yes","deg","full-time",250000,"Speaker Author Consultant",17,0,"Large-City","Married",7,2,0.92,"Very High"
"891",891,4,3,4,3,3,1,1,1,3,2,3,2,3,2,3,3,2,2,2,1,4,1,2,4,3,4,3,4,4,1,4,3,1,4,3,4,2,4,4,3,3,3,4,3,2,"yes","",3.4,2.06667,3.1,3,"Canada",28,"Female","No","dip","full-time",NA,NA,2,7,NA,NA,1,0,0.92,"Very High"
"892",892,2,3,2,2,2,4,1,4,1,2,2,3,4,2,2,1,1,1,1,4,3,1,2,4,3,2,4,3,4,1,1,3,4,2,4,4,2,4,3,4,2,2,2,2,5,"yes","no",2.2,2.2,2.9,2.6,"Canada",37.5,"Male","No","ltuni","full-time",67500,"manager",5,10,"Large-City","Divorced",1,0,0.92,"Very High"
"893",893,3,3,3,3,3,3,3,1,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"yes","yes",3,2.86667,2.85,3,"Canada",55,"Male","Yes","deg","full-time",150000,"engineer",30,0,"Medium-Sized","Married",1,3,0.92,"Very High"
"894",894,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,"yes","yes",5,3.13333,3,5,"Canada",55,"Male","Yes","deg","full-time",250000,"Janitor",28,0,"Medium-Sized","Married",1,3,0.92,"Very High"
"895",895,3,2,2,2,1,1,2,3,2,2,4,2,3,2,2,4,2,3,2,3,3,1,2,1,1,2,2,4,3,1,5,2,1,2,3,3,2,3,2,2,4,4,4,4,4,"no","no",2,2.46667,2.25,4,"Canada",55,"Male","Yes","deg","full-time",150000,"manager",6,0,"Large-City","Separated",7,1,0.92,"Very High"
"896",896,2,4,2,2,2,3,3,5,3,3,2,4,4,2,4,3,3,4,3,3,4,3,3,4,3,2,4,3,4,3,3,4,4,2,4,4,4,4,3,4,4,5,4,5,4,"yes","yes",2.4,3.26667,3.45,4.4,"Canada",45,"Male","No","ma","full-time",150000,"vice-president",10,0,"Large-City","Married",1,0,0.92,"Very High"
"897",897,4,4,3,3,3,2,2,3,3,3,3,1,2,2,5,2,2,4,3,3,3,2,2,4,4,4,3,2,4,2,2,4,4,1,3,2,3,3,4,4,3,4,4,3,3,"yes","no",3.4,2.66667,3,3.4,"Canada",55,"Female","No","deg","full-time",87500,"Senior Human Resources Consultant",1,0,"Large-City","Divorced",1,0,0.92,"Very High"
"898",898,3,3,3,3,3,1,1,2,2,2,3,2,2,1,3,4,2,3,2,3,3,2,3,3,3,2,3,3,3,2,4,3,2,4,2,4,3,3,4,3,3,3,2,2,3,"yes","no",3,2.2,2.95,2.6,"Canada",45,"Male","No","deg","full-time",55000,"Software Developer",10,0,"Village","Single",1,0,0.92,"Very High"
"899",899,3,5,2,5,3,4,4,4,3,5,2,3,4,2,3,4,4,4,5,5,2,2,4,4,5,4,3,4,5,3,4,5,4,4,4,5,5,4,2,4,2,2,2,2,2,"no","yes",3.6,3.73333,3.85,2,"Canada",32.5,"Male","No","ma","full-time",45000,"manager",0,6,"Large-City","Married",1,0,0.92,"Very High"
"900",900,4,3,3,2,2,2,2,3,3,2,3,3,4,3,3,2,2,3,2,2,3,2,3,3,2,2,3,3,4,2,4,3,2,2,3,3,3,4,4,4,4,3,3,3,3,"yes","yes",2.8,2.6,2.95,3.2,"Canada",24,"Male","No","ltuni","student",10000,NA,1,0,"Medium-Sized","Single",1,0,0.92,"Very High"
"901",901,4,2,2,3,3,1,2,1,3,4,4,4,3,4,4,3,4,3,4,2,4,3,1,5,4,4,4,4,5,1,2,5,2,3,4,3,2,4,5,4,2,3,3,2,2,"yes","yes",2.8,3.06667,3.45,2.4,"Canada",25,"Female","No","deg","full-time",35000,"Communications & Publishing",1,0,NA,"Single",1,0,0.92,"Very High"
"902",902,3,4,4,3,3,4,2,5,4,4,3,4,4,4,5,5,3,4,1,5,5,4,5,5,4,5,4,5,5,5,4,4,4,4,5,5,5,3,5,3,3,2,2,1,2,"yes","yes",3.4,3.8,4.45,2,"Canada",37.5,"Male","No","ltuni","full-time",35000,"Artist/ designer/builder",8,0,"Medium-Sized","Single",1,0,0.92,"Very High"
"903",903,2,3,3,2,2,4,2,3,3,3,2,4,3,2,3,4,2,3,2,3,3,2,3,4,4,2,3,3,3,1,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,"yes","yes",2.4,2.86667,3.05,4,"Canada",55,"Male","Yes","deg","full-time",87500,"Director,social Dvelopment",3,7,"Large-City","Married",8,1,0.92,"Very High"
"904",904,1,1,1,1,1,1,1,5,4,2,1,4,5,1,2,5,3,4,4,3,4,1,1,4,1,1,3,1,4,5,4,4,2,2,4,5,5,2,4,4,4,5,4,5,5,"yes","yes",1,3,3.05,4.6,"Canada",25,"Male","No","deg","full-time",67500,"Attorney",0,11,"Large-City","Single",1,0,0.92,"Very High"
"905",905,4,4,3,1,1,1,2,2,4,2,1,4,4,2,3,2,3,2,4,2,4,1,1,1,3,1,3,3,3,2,4,4,2,2,3,2,3,4,3,4,3,3,3,4,4,"yes","no",2.6,2.53333,2.65,3.4,"Canada",37.5,"Female","No","phd","full-time",NA,NA,0,0,"Small City","Single",1,0,0.92,"Very High"
"906",906,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,2,1,1,2,1,3,2,2,1,1,3,1,1,2,2,1,2,1,1,3,4,3,4,3,"no","no",1.2,1.26667,1.65,3.4,"Canada",67.5,"Male","Yes","ma","full-time",87500,"college professor",23,0,"Small Town","Married",1,2,0.92,"Very High"
"907",907,5,5,3,3,3,2,2,2,5,4,1,3,4,4,5,4,4,1,3,4,5,2,1,5,1,3,4,4,4,5,4,5,1,2,4,3,3,5,4,2,2,5,3,3,2,"yes","yes",3.8,3.2,3.35,3,"Canada",45,"Male","No","dip","full-time",150000,"Senior Systems Analyst",0,9,"Large-City","Married",1,0,0.92,"Very High"
"908",908,2,2,3,2,3,1,1,3,4,3,2,2,3,2,3,2,3,2,2,2,4,2,3,2,3,3,3,3,4,4,2,4,4,4,3,4,3,4,4,4,2,2,4,3,3,"yes","yes",2.4,2.33333,3.35,2.8,"Canada",55,"Male","Yes","ma","part-time",67500,"Software engineer",17,0,"Large-City","Married",8,2,0.92,"Very High"
"909",909,4,5,5,5,5,2,1,1,1,5,5,5,5,4,5,5,1,3,1,5,1,5,3,1,5,5,3,4,5,1,1,5,5,5,5,5,5,4,5,5,2,2,2,1,1,"yes","yes",4.8,3.26667,3.9,1.6,"Canada",22,"Female","No","deg","full-time",25000,"Training Coordinator",0,3,"Large-City","Single",1,0,0.92,"Very High"
"910",910,2,2,3,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,3,2,4,3,2,2,1,1,2,1,4,2,3,2,2,2,2,4,5,5,5,4,"no","no",1.8,1.4,2.2,4.6,"Canada",55,"Female","Yes","phd","full-time",150000,"college professor",NA,0,"Large-City","Married",1,1,0.92,"Very High"
"911",911,5,5,5,2,2,1,3,3,4,4,4,4,4,2,4,3,3,3,3,2,5,5,5,4,2,3,3,4,5,5,2,4,4,4,4,4,4,4,4,5,3,4,4,3,3,"yes","yes",3.8,3.13333,4,3.4,"Canada",32.5,"Female","No","ma","unemployed",45000,"Statistician",2,0,"Large-City","Married",1,0,0.92,"Very High"
"912",912,4,4,3,3,3,3,2,3,3,3,4,4,4,3,3,3,2,4,3,3,3,3,3,3,3,3,4,3,4,4,2,4,4,3,4,4,4,3,3,4,3,4,3,3,2,"yes","yes",3.4,3.13333,3.4,3,"Canada",21,"Male","No","deg","student",10000,NA,0,0,"Medium-Sized","Single",1,0,0.92,"Very High"
"913",913,2,3,2,2,2,2,2,3,3,3,2,3,4,3,3,2,3,3,2,2,3,2,2,2,2,2,3,4,3,3,2,3,2,2,4,3,2,3,3,3,3,4,4,4,3,"yes","yes",2.2,2.66667,2.65,3.6,"Canada",45,"Male","No","ma","part-time",67500,"attorney",17,0,"Large-City","Married",1,0,0.92,"Very High"
"914",914,2,2,2,1,1,1,1,2,4,1,2,4,4,4,3,1,2,2,3,2,3,1,2,5,5,3,5,4,5,1,1,4,1,1,5,4,4,3,3,4,4,5,4,5,5,"yes","yes",1.6,2.4,3.2,4.6,"Canada",19,"Female","No","ltuni","student",15000,"Student / working part-time",2,0,"Large-City","Single",1,0,0.92,"Very High"
"915",915,5,5,5,4,4,2,1,5,4,4,2,2,4,4,4,4,2,2,2,4,4,1,3,4,5,1,4,5,1,1,2,4,5,4,4,2,2,5,1,5,4,4,3,2,2,"yes","yes",4.6,3.06667,3.15,3,"Canada",45,"Male","Yes","deg","unemployed",10000,"Unemployed",10,0,"Large Town","Married",7,1,0.92,"Very High"
"916",916,4,4,5,5,4,1,5,4,5,4,3,5,4,4,5,4,5,4,5,3,4,3,1,2,3,5,4,5,4,3,5,3,2,3,5,4,3,5,3,4,1,5,2,4,1,"yes","yes",4.4,4.06667,3.55,2.6,"Canada",37.5,"Female","Yes","ma","part-time",15000,"Computer Instructor (Continuing Educatio",17,0,"Medium-Sized","Married",1,1,0.92,"Very High"
"917",917,4,5,5,4,4,1,1,1,5,4,5,5,3,3,3,3,1,2,2,3,3,2,1,3,1,1,2,2,2,1,3,2,4,2,4,5,4,5,3,3,3,2,2,1,1,"yes","yes",4.4,2.8,2.65,1.8,"Canada",24,"Male","No","deg","student",10000,NA,17,0,"Large-City","Single",1,0,0.92,"Very High"
"918",918,5,3,2,2,2,5,2,5,3,5,4,5,5,3,4,5,3,5,2,5,4,4,4,4,5,4,4,4,5,2,3,5,5,4,5,5,5,5,5,1,4,4,4,4,2,"yes","yes",2.8,4.06667,4.15,3.6,"Canada",55,"Female","Yes","ma","full-time",67500,"Counselor",17,0,"Large-City","Single",1,1,0.92,"Very High"
"919",919,2,4,2,1,1,1,5,5,5,1,5,3,4,1,3,4,5,3,5,3,3,2,1,5,2,1,3,1,4,2,1,4,1,3,4,3,2,3,2,2,2,2,2,3,5,"yes","no",2,3.53333,2.45,2.8,"Canada",23,"Female","No","deg","part-time",10000,"clerk",7,2,"Large-City","Single",1,0,0.92,"Very High"
"920",920,4,4,5,3,3,3,3,5,4,5,4,4,5,5,5,5,4,5,2,5,5,3,4,4,4,3,5,4,5,2,4,5,5,4,5,5,4,5,5,5,2,2,1,1,1,"yes","yes",3.8,4.26667,4.3,1.4,"Canada",37.5,"Male","Yes","deg","full-time",87500,"Software engineer",17,0,"Small City","Married",1,2,0.92,"Very High"
"921",921,2,3,2,2,3,1,1,1,2,2,3,2,2,2,3,1,2,1,3,1,3,2,2,1,3,3,2,2,2,2,2,2,1,1,1,2,2,2,1,2,3,5,5,5,3,"no","no",2.4,1.8,1.9,4.2,"Canada",55,"Female","No","dip","full-time",NA,"Nurse",30,0,"Medium-Sized",NA,1,0,0.92,"Very High"
"922",922,5,5,3,3,3,2,2,5,5,5,5,5,5,5,5,4,4,4,3,5,5,3,4,4,4,2,5,5,5,5,4,5,1,2,5,4,4,5,5,5,2,1,2,2,1,"yes","no",3.8,4.26667,4.1,1.6,"Canada",20,"Female","No","ltuni","student",NA,NA,2,7,"Small City","Single",1,0,0.92,"Very High"
"923",923,3,3,3,2,2,2,1,2,1,3,5,4,4,4,3,4,1,3,1,4,4,2,2,4,4,2,4,3,3,3,3,3,3,3,5,3,3,3,4,4,3,3,4,3,2,"yes","yes",2.6,2.8,3.25,3,"Canada",24,"Male","No","high","full-time",25000,NA,5,0,"Large-City","Single",1,0,0.92,"Very High"
"924",924,4,5,2,2,3,2,2,2,2,3,5,4,4,3,5,3,3,2,2,5,5,2,2,3,3,2,2,3,5,2,2,5,2,2,4,3,3,4,3,3,3,3,4,4,2,"yes","yes",3.2,3.13333,3,3.2,"Canada",28,"Female","No","deg","student",NA,NA,0,0,"Large-City","Single",1,0,0.92,"Very High"
"925",925,4,4,5,3,3,3,2,4,4,4,3,4,4,4,4,2,2,3,2,2,5,3,2,4,3,2,4,3,4,2,2,4,3,2,4,3,4,4,4,4,1,2,2,2,1,"yes","yes",3.8,3.13333,3.3,1.6,"Canada",16.5,"Male","No","lthigh","student",10000,"na",0,0,"Medium-Sized","Single",1,0,0.92,"Very High"
"926",926,5,4,3,4,4,3,4,5,4,5,1,5,4,4,4,3,3,4,4,4,3,3,3,4,4,2,4,4,5,4,4,5,4,4,5,4,5,4,5,5,2,3,3,2,3,"yes","yes",4,3.8,4.05,2.6,"Canada",20,"Female","No","ltuni","student",15000,NA,0,0,"Large Town","Single",1,0,0.92,"Very High"
"927",927,5,4,5,4,4,1,3,5,5,5,5,5,3,5,5,4,4,3,4,3,4,2,1,5,3,3,3,3,4,4,5,5,3,5,5,4,4,5,5,3,1,1,1,1,1,"yes","yes",4.4,4,3.8,1,"Canada",20,"Female","No","ltuni","student",10000,NA,0,0,"Small City","Single",1,0,0.92,"Very High"
